92.064	-34.777	
61.109	-47.132	
17.42	-4.5993	
-7.1285	-34.54	
232.32	32.032	
177.43	28.083	
286.89	18.159	
274.37	31.197	
47.484	-36.786	
69.2	-78.217	
124.61	24.277	
36.203	14.827	
-39.786	-12.615	
-38.025	-99.976	
267.33	-14.272	
28.898	-39.754	
-29.836	-23.277	
255.67	9.8137	
13.452	-72.827	
102.04	5.1777	
62.838	1.9057	
-14.947	-61.919	
15.162	-97.037	
36.626	-28.898	
172.16	-15.217	
136.95	-14.13	
-41.714	-61.328	
39.556	-47.361	
195.65	8.6677	
278	13.181	
151.03	8.9127	
8.7638	7.5647	
83.006	20.959	
205.39	29.686	
264.51	24.454	
214.54	-7.8711	
53.27	-55.233	
20.139	-20.15	
8.2018	-20.97	
-13.641	-0.09834
278.92	21.918	
170.62	28.733	
